Rank,Name,Pct.,Rank,Num.,Pct.
471,Hodges,0.02%,-43,"+1,355",+2.0%
472,Zhang,0.02%,+491,"+36,923",+111%
473,Guerra,0.02%,+81,"+15,496",+28.4%
474,Wolf,0.02%,-47,"+1,126",+1.6%
475,Valencia,0.02%,+141,"+19,974",+39.9%
476,Franco,0.02%,+95,"+16,782",+31.6%
476,Saunders,0.02%,-37,"+2,733",+4.1%
478,Rowe,0.02%,-26,"+3,674",+5.5%
479,Gallagher,0.02%,-46,"+1,759",+2.6%
480,Farmer,0.02%,-49,"+1,308",+1.9%
481,Hammond,0.02%,-39,"+2,452",+3.7%
482,Hampton,0.02%,-31,"+3,094",+4.7%
483,Townsend,0.02%,-39,"+2,507",+3.8%
484,Ingram,0.02%,-38,"+2,680",+4.0%
485,Wise,0.02%,-40,"+1,911",+2.9%
486,Gallegos,0.02%,+65,"+13,701",+25.1%
487,Clarke,0.02%,-11,"+5,735",+9.2%
488,Barton,0.02%,-41,"+1,611",+2.4%
489,Schroeder,0.02%,-39,"+1,565",+2.4%
490,Maxwell,0.02%,-32,"+2,182",+3.3%
491,Waters,0.02%,-36,"+2,112",+3.2%
492,Logan,0.02%,-27,"+3,333",+5.2%
493,Camacho,0.02%,+137,"+18,893",+38.6%
494,Strickland,0.02%,-38,"+1,955",+3.0%
495,Norman,0.02%,-34,"+2,435",+3.7%
496,Person,0.02%,+1223,"+48,282",+252%
497,Colon,0.02%,+42,"+11,826",+21.3%
498,Parsons,0.02%,-45,"+1,107",+1.7%
499,Frank,0.02%,-45,"+1,386",+2.1%
500,Harrington,0.02%,-38,"+1,828",+2.8%
501,Glover,0.02%,-33,"+2,678",+4.2%
502,Osborne,0.02%,-45,"+1,025",+1.6%
503,Buchanan,0.02%,-32,"+2,823",+4.4%
504,Casey,0.02%,-41,"+1,741",+2.7%
505,Floyd,0.02%,-36,"+2,313",+3.6%
506,Patton,0.02%,-42,"+1,521",+2.3%
507,Ibarra,0.02%,+155,"+19,168",+40.9%
